display_name,positive_count,negative_count
Safflower,58,5
Black cumin seed,52,0
Garlic oil,46,3
Fenugreek seed,35,2
Castor bean,34,29
Gingelly oil,30,15
Lavender oil,29,1
Soybean oil,27,15
Peganum harmala,24,1
Peppermint oil,23,8
Black cumin oil,22,0
Clove oil,19,3
Copaiba oil,19,0
Annual rape oil,18,29
Rooibo tea,15,0
Gum arabic,15,8
Zakuro seed,14,2
Lindera obtusiloba,13,0
Bai hua,12,1
Lythrum salicaria,12,0
Maritime pine,12,1
Neem oil,11,9
Gingelly seed,11,6
Commiphora wightii,11,0
Soybean seed,10,0
White birch,10,4
Flax seed,10,1
Copaiba,10,1
Milk thistle seed,9,0
Sweet almond oil,9,4
Tulbaghia violacea,9,0
Chinese celery seed,9,0
Camphor tree,9,0
Garcinia kola seed,9,0
Garden balsam,8,0
Khaya senegalensis,8,0
Flax oil,8,1
Sweet cicely oil,8,0
Turmeric oil,8,0
Rat tail radish seed,8,0
Safflower seed,7,0
Safflower oil,7,5
Maranga seed,7,0
Paris polyphylla,7,0
Jute,7,5
Hayo,7,2
Camel thorn,7,0
Quassia,7,1
Storax,7,0
Quercus infectoria,7,1
